CustomerID,CustomerName,Gender,City,Phone
1,Sai Sharma,Female,Mumbai,9321819600
2,Aditya Patel,Male,Visakhapatnam,9908386379
3,Sneha Sharma,Male,Kolkata,9542351161
4,Kiran Kumar,Female,Hyderabad,9781618495
5,Manoj Patel,Male,Hyderabad,9341316475
6,Rahul Kumar,Female,Mumbai,9419283276
7,Sneha Naidu,Male,Pune,9030564139
8,Arjun Patel,Female,Kolkata,9724238849
9,Nikhil Singh,Female,Pune,9328710122
10,Nikhil Singh,Male,Kolkata,9697848018
11,Sneha Kumar,Male,Delhi,9627048281
12,Kavya Naidu,Male,Chennai,9528809570
13,Sai Kumar,Female,Mumbai,9039117182
14,Rakesh Rao,Male,Delhi,9896383465
15,Pooja Naidu,Female,Bengaluru,9331509839
16,Ananya Sharma,Male,Hyderabad,9310518347
17,Priya Naidu,Male,Warangal,9973763116
18,Kiran Verma,Female,Vijayawada,9010651333
19,Vikas Rao,Male,Kolkata,9247317810
20,Vikas Sharma,Male,Mumbai,9267736026
21,Aarav Verma,Female,Vijayawada,9468723430
22,Manoj Naidu,Male,Pune,9009788208
23,Aditya Yadav,Male,Warangal,9136193990
24,Harsha Reddy,Female,Warangal,9985435346
25,Rakesh Gupta,Female,Pune,9107991183
26,Neha Gupta,Male,Pune,9135427849
27,Neha Sharma,Female,Bengaluru,9241182449
28,Priya Kumar,Male,Delhi,9874016400
29,Arjun Yadav,Female,Chennai,9786801128
30,Vivaan Kumar,Male,Kolkata,9204505331
31,Kiran Naidu,Female,Warangal,9232260256
32,Ananya Gupta,Male,Bengaluru,9607337543
33,Ananya Sharma,Male,Kolkata,9541458685
34,Aarav Reddy,Female,Chennai,9940196556
35,Harsha Naidu,Male,Kolkata,9934060883
36,Kiran Verma,Male,Pune,9951484656
37,Kavya Naidu,Male,Mumbai,9662994680
38,Kavya Gupta,Male,Kolkata,9995777387
39,Rahul Reddy,Female,Visakhapatnam,9951343320
40,Vivaan Patel,Female,Warangal,9176936763
41,Rakesh Sharma,Male,Kolkata,9328708317
42,Rakesh Rao,Female,Vijayawada,9986872774
43,Ananya Gupta,Female,Mumbai,9471434558
44,Aditya Yadav,Male,Mumbai,9623166587
45,Nikhil Sharma,Male,Kolkata,9690967054
46,Suman Verma,Male,Vijayawada,9346706562
47,Pooja Yadav,Male,Kolkata,9990162720
48,Sneha Verma,Female,Mumbai,9755646417
49,Aarav Naidu,Male,Pune,9310033092
50,Ananya Yadav,Female,Bengaluru,9937452991
51,Rahul Gupta,Male,Warangal,9049663193
52,Sai Gupta,Male,Warangal,9058651850
53,Nikhil Rao,Male,Kolkata,9572628498
54,Divya Rao,Female,Warangal,9453147379
55,Harsha Verma,Female,Hyderabad,9752735454
56,Harsha Gupta,Male,Visakhapatnam,9313678377
57,Pooja Sharma,Male,Delhi,9363495788
58,Kiran Verma,Female,Pune,9744431351
59,Vikas Yadav,Male,Mumbai,9749894134
60,Ananya Kumar,Male,Delhi,9082400842
61,Divya Reddy,Male,Warangal,9477752047
62,Sai Reddy,Female,Vijayawada,9190229413
63,Sai Naidu,Female,Warangal,9993867749
64,Nikhil Gupta,Male,Warangal,9133412328
65,Aditya Yadav,Male,Kolkata,9797403447
66,Aditya Patel,Female,Warangal,9361832421
67,Vivaan Yadav,Female,Warangal,9947174648
68,Vikas Rao,Female,Bengaluru,9906594013
69,Manoj Singh,Male,Delhi,9902787429
70,Nikhil Rao,Male,Vijayawada,9565512567
71,Kavya Verma,Male,Vijayawada,9154516808
72,Pooja Verma,Male,Mumbai,9859770348
73,Rakesh Gupta,Female,Vijayawada,9109324808
74,Nikhil Reddy,Male,Bengaluru,9712748467
75,Divya Patel,Female,Visakhapatnam,9263982146
76,Arjun Naidu,Female,Hyderabad,9449972787
77,Kiran Kumar,Female,Vijayawada,9533963605
78,Divya Verma,Female,Chennai,9702895171
79,Neha Rao,Male,Chennai,9621745961
80,Arjun Naidu,Female,Pune,9780913431
81,Nikhil Reddy,Male,Vijayawada,9240050455
82,Nikhil Yadav,Male,Visakhapatnam,9692221969
83,Ananya Rao,Male,Mumbai,9747407482
84,Aditya Rao,Female,Warangal,9464743671
85,Ananya Verma,Female,Warangal,9440640909
86,Divya Gupta,Male,Warangal,9533942104
87,Pooja Sharma,Female,Chennai,9145623285
88,Neha Naidu,Female,Chennai,9474517123
89,Suman Naidu,Female,Bengaluru,9604817549
90,Suman Kumar,Male,Mumbai,9709859317
91,Kavya Verma,Male,Chennai,9004711382
92,Suman Rao,Female,Visakhapatnam,9692617964
93,Vivaan Kumar,Male,Vijayawada,9735158506
94,Sneha Patel,Male,Vijayawada,9139005329
95,Priya Reddy,Male,Warangal,9335290422
96,Vikas Gupta,Male,Bengaluru,9020539502
97,Sneha Sharma,Male,Kolkata,9811775891
98,Pooja Naidu,Male,Warangal,9084700766
99,Sai Rao,Female,Bengaluru,9159212499
100,Vikas Kumar,Female,Warangal,9847896118
